Capacitaciones;Departamento;No. de asistentes;Informes;Trifoliares;Infografias;Socializacion ;Taller;;;;;
 Incendios forestales;Peten,  OCTUBRE;45;12 sobre Monitoreo fenomeno El Niño;4 sobre temas vnculados al cambio climatico;8 sobre temas de riesgos por efecto del cambio climatico;Estrategia  Nacinal para la Gestion del Fuego para Guatemala en los departamentos fr Guatemala, El Peten,Quetzaltenango, Zacapa, Huehuetenango 150 asistentes en total. SEPTIEMBRE;Mecanismo de Coordinacion vinculado a Incendios Forestales, 35 personas. MARZO;;;;;
Cambio climatico; Chiquimula,  AGOSTO;10;;;;;;;;;;
;Quetzaltenango, FEBRERO;80;;;;;;;;;;
;San Marcos ABRIL;85;;;;;;;;;;
;El Quiche, AGOSTO;10;;;;;;;;;;
;Quetzaltenango, NOVIEMBRE ;45;;;;;;;;;;
;Alta Verapaz, AGOSTO;40;;;;;;;;;;
Deslizamientos;Zacapa, JUNIO;46;;;;;;;;;;
Gestion del Fuego;Guatemala, JULIO;30;;;;;;;;;;
MRV;Guatemala, JULIO;25;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
Nombre de Proyecto;Ubicación del proyecto (departamentos y municipios );;Beneficiarios (Si el proyecto es regional, hacer un estimado para Guatemala);;;;No. de comunidades ;No. de talleres/capacitaciones impartidas ;No. de personas que asistieron a estas capacitaciones o talleres ;No. de hectáreas con medidas de adaptación al Cambio Climático;Actores involucrados ;
;Departamentos;Municipios;Hombres ;Mujeres;Niños ;Total (Si no se tiene dividido todavía);;;;;Fondos e Implementadores;Sector público 
Uso de soluciones basada en la naturaleza para aumentar la resiliencia ante eventos climáticos extremos en la región atlántica de Centroamérica - REFORES -;1;4;7,375;7,375;0;14,750;0;4;313;1,800;4;1
Incrementando la resiliencia a través de Soluciones basadas en la Naturaleza en ciudades latinoamericanas - Nature4Cities -;1;1;93;139;0;232;24;13;232;0;2;2
Escalado medidas de Adaptación basada en Ecosistemas (AbE) en áreas rurales de América Latina: Ecuador, Costa Rica y Guatemala - EbA LAC - ;3;34;6,171;2,645;0;8,816;0;8;349;1,010.59;5;1
Acción y apoyo para prevenir, minimizar y abordar el desplazamiento relacionado con los efectos adversos del cambio climático en Guatemala - PAMAD -;4;4;0;0;0;0;0;11;285;0;3;1
RELIVE/RESICLIMA ;5;29;69,815;46,541;0;116,356;0;11;280;3,020;3;5
"Promoviendo Territorios Sostenibles y Resilientes en Paisajes 
de la Cadena Volcánica Central de Guatemala";8;32;31807;32790;0;64596;0;12;1,000.00;7,938.92;3;1
Construyendo Resiliencia Climática en las cadenas de suministro para la movilización de fondos para la adaptación;2;7;3520;1705;0;5225;11;40;1,045.00;1,070.00;1;1
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
Fortalecimiento de Capacidades en temas de Degradación de Tierras, desertificación y Sequía;;;;;;;;;;;;
Departamento de Lucha contra la Degración de Tierras, la Desertificación y Sequía;;;;;;;;;;;;
CAPACITACIONES;DEPARTAMENTO;MES;PERSONAS CAPACITADAS;;;;;;;;;
Taller Herramientas SIG para el análisis geoespacial del Riesgo y Prevención de la Degradación de  Tierras, Desertificación y Sequía: Experiencias en Guatemala y México En conmemoración al día Mundial de la Tierra;San Marcos ;Abril;85;;;;;;;;;
"Taller en Conmemoración del Día Mundial de Lucha contra la Desertificación y la Sequía ""Unidos por la tierra: Nuestro legado. Nuestro futuro""";Zacapa ;Junio;46;;;;;;;;;
Taller de capacitación de tecnologías geoespaciales para el monitoreo de la degradación de tierras, la desertificación y la sequía con adaptación al cambio climático.;Alta Verapaz;Agosto;40;;;;;;;;;
Taller Primera reunión ordinaria Con el Grupo Técnico Interinstitucional Para el Manejo Sostenible de la Tierra -GTI-   ;Guatemala;Octubre;25;;;;;;;;;
Taller capacitación de Tecnologías Geoespaciales para Monitoreo de la Degradación de Tierras, la Desertificación y la Sequía, con Adaptación al Cambio Climático.;Quetzaltenango ;Noviembre ;45;;;;;;;;;
;;Total;241;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
Talleres realizados en 2024 para la Actualización de la NDC e insumos para el BTR;;;;;;;;;;;;
No.;Reunión/Taller;Total de participantes;Hombres;Mujeres;;;;;;;;
1;Reunión de inicio con instituciones rectoras sectoriales;32;12;20;;;;;;;;
2;Sinergias NDC y CBIT (coordinación);3;1;2;;;;;;;;
3;Información sobre avances sector Salud (GIZ-MARN);5;1;4;;;;;;;;
