"mes","numero_mes","cantidad_en_linea","cantidad_presencial","total_por_mes"
"January  ","1","249024","62533","311557"
"February ","2","128782","34922","163704"
"March    ","3","107785","30609","138394"
"April    ","4","69663","20413","90076"
"May      ","5","81053","22721","103774"
"June     ","6","85349","23949","109298"
"July     ","7","102229","25736","127965"
"August   ","8","94299","25823","120122"
"September","9","84403","22293","106696"
"October  ","10","81975","19768","101743"
"November  ","11","87531","40073","127604"
"December  ","12","94520","26074","120594"
